id,course_id,start,end,course_type,category
10324,course-v1:EPFLx+FndBioImg2x+1T2017,2017-03-06 08:00:00,2018-02-21 08:00:00,0,
1973,course-v1:MITx+15_390x+2015__T2,2015-07-09 00:00:00,2016-07-09 00:00:00,0,
2070,course-v1:TsinghuaX+00510663X+2015_T2,2015-10-12 12:00:00,2016-01-16 00:00:00,0,business
557,TsinghuaX/10450034_1X/2015_T2,2015-11-02 08:00:00,2016-02-03 20:00:00,0,biology
12210,course-v1:CollegeOfEducation+052001+17181,2017-09-01 08:00:00,2018-01-22 20:00:00,0,
7691,course-v1:LouvainX+Louv9x+1T2017,2017-02-06 08:00:00,2018-02-06 08:00:00,0,
1815,course-v1:TsinghuaX+40040152X_tv+2015_T1,2015-03-06 08:00:00,,1,engineering
2139,course-v1:edX+BlendedX+_2015_T2_,2015-07-15 00:00:00,2016-07-15 00:00:00,0,
7829,course-v1:JLU+291405+161711,2016-10-14 23:30:00,2017-03-12 23:30:00,0,
4728,course-v1:TsinghuaX+AP000003X+2016_T0,2016-01-23 08:00:00,2016-02-20 23:30:00,0,
8367,course-v1:tjzd_TsinghuaX+THU00013X+2016_T2,2016-11-04 00:00:00,2017-02-28 00:00:00,0,
11384,course-v1:CQU+TSJYHG00062+2017_T1,2017-05-01 08:00:00,2020-05-01 00:00:00,0,
4270,course-v1:TsinghuaX+00310222X+sp,2016-08-01 08:00:00,,1,physics
8245,course-v1:UCSanDiegoX+LTM1x+3T2016,2016-11-01 08:00:00,2017-11-01 08:00:00,0,
7978,course-v1:hebut+2016_Tu4+2016_T1,2016-09-01 08:00:00,2017-01-10 18:00:00,0,
10107,course-v1:RWTHx+MTI003x+3T2017,2017-09-13 08:00:00,2017-10-25 08:00:00,0,
3554,course-v1:365DX+131000110+2015_T2,2015-10-01 08:00:00,2016-01-16 00:00:00,0,
11428,course-v1:CQU+TSJYHG00017+2017_T1,2017-05-01 00:00:00,2020-05-01 00:00:00,0,
10975,course-v1:SDJTU+240113A+2016_T2,2017-03-01 08:00:00,2017-07-01 00:00:00,0,
4542,course-v1:TsinghuaX+70240183X+2016_T11,2016-03-29 08:00:00,2016-07-12 23:30:00,0,computer
3408,course-v1:myvtc+01030132X+2015_T2,2015-09-01 00:00:00,2015-12-01 00:00:00,0,
3797,course-v1:CIE+SHC001+2015_T2,2015-09-07 08:00:00,2016-12-30 00:00:00,0,
8637,course-v1:TsinghuaX+90640012X_p4+sp,2016-12-01 08:00:00,,1,foreign language
777,ThtfSEM/THTF_2_01/2015_04,2015-04-13 08:00:00,2015-05-14 00:00:00,0,
8209,course-v1:Microsoft+CLD216x+3T2016,2016-10-03 08:00:00,2016-12-31 08:00:00,0,
8633,course-v1:TsinghuaX+20220332X_p1+sp,2016-12-01 12:00:00,,1,foreign language
7433,course-v1:XJTUMOOC+MACH2408+2016_T2,2016-09-05 08:00:00,2017-01-13 08:00:00,0,
12313,course-v1:CPVS+CPVS-homework_shuziyingxiang+20170712,2017-07-12 12:00:00,2017-08-31 23:30:00,0,
10677,course-v1:Microsoft+DAT101x+2T2017,2017-04-01 08:00:00,2017-06-30 08:00:00,0,
7272,course-v1:TsinghuaX+00612643X+2016_T2,2016-10-10 09:00:00,2016-12-31 00:30:00,0,literature
11891,course-v1:TsinghuaX+AP000001X+2017_ST,2017-06-05 17:00:00,2017-07-25 00:00:00,0,
11869,course-v1:WageningenX+NUTR101x+2017_T2,2017-09-05 08:00:00,2017-12-25 23:30:00,0,medicine
10184,course-v1:xuetangX+20170227X+2017_T1,2017-02-20 08:00:00,2017-12-31 23:30:00,0,
10358,course-v1:CAU+cfxy08110140_1x+2017_T1,2017-03-08 08:00:00,2018-04-08 00:00:00,0,
7974,course-v1:TsinghuaX+AP000004X+2016_2017,2016-04-08 08:00:00,2016-07-01 17:00:00,0,
9510,course-v1:RITx+CYBER525x+3T2017,2017-11-28 08:00:00,2018-01-23 08:00:00,0,
1384,course-v1:TsinghuaX+01030132X+2015_T1,2015-07-15 00:00:00,2016-07-15 00:00:00,0,
10298,course-v1:TsinghuaX+yunnan00691153X+2017_T1,2017-03-06 00:00:00,2017-06-06 00:00:00,0,
7186,course-v1:guangxi_TsinghuaX+10421075X+2016_T2,2016-08-25 00:00:00,2016-11-25 00:00:00,0,
11740,course-v1:GeorgetownX+BIOX-201-01x+2T2017_2,2017-05-19 08:00:00,2019-05-10 08:00:00,0,
8531,course-v1:UC3Mx+HGA.2.1x+1T2017,2017-02-14 08:00:00,2017-04-11 08:00:00,0,
9411,course-v1:ZK+07729+J,2018-01-01 08:00:00,2020-01-01 00:00:00,0,
679,TsinghuaX/00740043_2X/2015_T1,2015-04-27 15:00:00,2015-07-24 00:00:00,0,computer
11266,course-v1:IMFx+FPP.1x+2T2017,2017-05-10 08:00:00,2017-06-21 08:00:00,0,
2756,course-v1:TsinghuaX+80512073_tv+2015_T2_MZ,2015-08-10 00:00:00,2016-08-10 23:30:00,0,
10308,course-v1:UPValenciaX+IQ101.2x+1T2017,2017-04-25 08:00:00,2018-04-25 08:00:00,0,
6818,course-v1:zhongrongxin+jbqy003+2016_7,2016-07-22 08:00:00,2017-04-30 00:00:00,0,
227,UC_BerkeleyX/ColWri2_2x/2014_T2,2014-12-03 00:00:00,2015-01-27 00:00:00,0,foreign language
5642,course-v1:ENG+ENG001+2016_T1,2016-03-01 00:00:00,2016-07-31 23:59:00,0,
11213,course-v1:SDUx+00931800X+2017_T2,2017-09-05 08:00:00,2017-12-25 23:30:00,0,math
10623,course-v1:TsinghuaX+yunnan10610224X+2017_T1,2017-03-22 00:00:00,2017-06-22 00:00:00,0,
4003,course-v1:bdschool+00034237+2015_T2,2015-12-15 00:00:00,2016-01-15 00:00:00,0,
7710,course-v1:MichiganX+SW521x+1T2017,2017-01-13 08:00:00,2018-01-30 08:00:00,0,
2231,course-v1:TsinghuaX+10610193X+__2015__T2_,2015-09-07 00:00:00,2016-07-15 00:00:00,0,
8853,course-v1:dongguan+zhiye048+20161223,2016-12-23 08:00:00,2017-04-23 00:00:00,0,
6738,course-v1:test101+test101+2016_T1,2030-01-01 08:00:00,2015-04-01 00:00:00,0,
11735,course-v1:ACCA+FA1_X+sp,2017-06-01 08:00:00,,1,economics
3498,course-v1:HAUNU+PHY001+2015_T2,2016-03-11 09:30:00,2016-07-29 10:00:00,0,
8583,course-v1:TsinghuaX+30240184_p1+sp,2016-12-01 08:00:00,,1,computer
9209,course-v1:UPValenciaX+ISC101.4x+1T2017,2017-01-31 08:00:00,2018-01-31 08:00:00,0,
8208,course-v1:WageningenX+NUTR103+3T2016,2016-12-06 08:00:00,2017-05-08 08:00:00,0,
3384,course-v1:gxun+00701032X+2015_T2,2015-09-20 00:00:00,2015-12-20 00:00:00,0,
6925,course-v1:NUDT+520804502+2016_T2,2017-10-08 08:00:00,2030-12-08 00:00:00,0,engineering
5021,course-v1:TsinghuaX+30670043X+sp,2017-06-01 08:00:00,,1,literature
11139,course-v1:UQx+Denial101x+2T2017,2017-05-30 08:00:00,2017-10-10 08:00:00,0,
6520,course-v1:HIT+SPOC-1+2016-2,2016-06-28 08:00:00,2016-11-22 01:00:00,0,
12223,course-v1:SDJTU+110267+2017_T2,2017-06-28 08:00:00,2017-06-29 06:00:00,0,
4220,course-v1:TsinghuaX-yzu+10610193X+2015_T2,2015-09-14 12:00:00,2017-01-15 00:00:00,0,
6019,course-v1:skillchina_TsinghuaX+THU00022X+2016_T1,2016-04-12 00:00:00,2016-06-12 00:00:00,0,
12321,course-v1:CPVS+CPVS-homework_xueqianxiaoban16ji+20170712,2017-07-12 12:00:00,2017-08-31 23:30:00,0,
11214,course-v1:JLU+30640014X+161721,2017-04-03 23:30:00,2017-09-02 23:30:00,0,
6347,course-v1:SDUx+sd01020140+2016_T2,2016-09-13 08:00:00,2016-11-29 18:00:00,0,
5489,course-v1:TsinghuaX+40990255X_1+2016_T2,2016-04-05 08:00:00,2016-08-30 14:00:00,0,engineering
10860,course-v1:sjtuxy+040301+2017-T3,2017-04-12 08:00:00,2019-04-12 08:00:00,0,
184,TsinghuaX/80000901X/2014_T2,2014-09-25 09:00:00,2015-02-12 18:00:00,0,history
7673,course-v1:GalileoX+CET001X+3T2016,2017-01-16 08:00:00,2018-01-16 08:00:00,0,
10411,course-v1:RITx+PM9004x+3T2017,2017-12-04 08:00:00,2018-12-12 08:00:00,0,
1628,course-v1:TsinghuaX+10430494X+2014_T2,2015-06-18 09:00:00,2016-06-18 23:30:00,0,
5578,course-v1:liaoningX+LNA20140000024+01,2016-03-01 08:00:00,2016-06-30 08:00:00,0,
8667,course-v1:FUDANx+ECON130007_01_P1+sp,2016-12-01 08:00:00,,1,economics
2794,course-v1:gznu10663+ustcXLB05203a+2015_T2,2015-08-17 08:00:00,2017-02-10 01:30:00,0,
8455,course-v1:ustcX+USTC001+2016_2017,2016-02-22 10:00:00,2016-04-25 23:30:00,0,
9063,course-v1:CPVS+CPVS-LY002+2016_T2,2016-12-30 00:00:00,2017-02-28 23:30:00,0,
11257,course-v1:MITx+15_671x+2017_T2,2017-09-05 08:00:00,2017-12-25 23:30:00,0,economics
6928,course-v1:NUDT+082501502+2016_2,2016-10-08 08:00:00,2016-12-11 23:00:00,0,engineering
1638,course-v1:TsinghuaX+20440333_2014X+2014_T2,2015-06-18 09:00:00,2016-06-18 09:00:00,0,
7197,course-v1:TsinghuaX+TsinghuaMandarin01+sp,2016-08-01 08:00:00,,1,foreign language
8702,course-v1:HBUE+ZB3121+2016-T2,2017-02-01 08:00:00,2017-12-31 00:00:00,0,
3481,course-v1:MITx-cug+15_390x1+2015_T2,2014-11-22 08:00:00,2016-12-10 00:00:00,0,
7101,course-v1:RWTHx+CA101+3T2016,2016-10-17 08:00:00,2017-02-05 08:00:00,0,
7486,course-v1:TsinghuaX+40600093X+2016_T2,2016-09-21 08:00:00,2017-01-15 08:00:00,0,
3994,course-v1:bdschool+10800032+2015_T2,2015-01-15 00:00:00,2016-01-15 00:00:00,0,
11875,course-v1:xjtu+MLMD100514+2017_T2,2017-06-09 08:00:00,2017-07-30 00:00:00,0,
672,HNU/HNU001/2015_T1,2015-03-16 08:00:00,2015-07-12 00:00:00,0,social science
11602,course-v1:ACCA+MA2_X+sp,2017-06-01 08:00:00,,1,economics
6650,course-v1:Microsoft+CLD215x+2T2016,2016-07-11 08:00:00,2016-12-30 08:00:00,0,
10332,course-v1:hit+123456+2017_T1,2017-02-20 08:00:00,2017-07-20 00:00:00,0,
754,NJU/10430484_2015X/2015_T1,2016-09-01 09:00:00,2017-01-07 10:00:00,0,
7706,course-v1:HKPolyUx+HTM533x+3T2017,2017-09-05 08:00:00,2017-11-12 08:00:00,0,
8898,course-v1:dongguan+zhiye046+20161223,2016-12-23 08:00:00,2017-04-23 00:00:00,0,
10480,course-v1:CQUMOOC+0002-StructuralMechanics+2017_T1,2017-04-01 08:00:00,2017-12-31 20:00:00,0,
5880,course-v1:MITx+6_00_1x+sp,2016-11-04 08:00:00,,1,computer
8650,course-v1:TsinghuaX+00690212X_p1+sp,2016-12-01 08:00:00,,1,history
3475,course-v1:TsinghuaX-cug+80512073X+2015_T2,2014-10-10 00:00:00,2016-10-31 23:30:00,0,
9012,course-v1:dongguan+zhiye012+20161223,2016-12-23 08:00:00,2017-04-23 00:00:00,0,
6975,course-v1:RiceX+PHYS102.1x+3T2016,2016-09-01 08:00:00,2017-09-01 08:00:00,0,
2154,course-v1:TsinghuaX+30240243X+_2015_T2,2015-07-15 00:00:00,2016-07-15 00:00:00,0,
8881,course-v1:dongguan+zhongshen012+20161223,2016-12-23 08:00:00,2017-04-23 00:00:00,0,
7454,course-v1:NSU_TsinghuaX+00510888X+2016_T2,2016-02-28 08:00:00,2016-06-16 00:00:00,0,
6780,course-v1:TsinghuaX+TSINGHUA107+2016-T2,2016-09-12 08:00:00,2016-12-28 00:00:00,0,social science
512,TsinghuaX/00701032X/2015_T1,2015-03-16 08:00:00,2015-07-21 17:00:00,0,social science
3412,course-v1:TsinghuaX+10421065X+2015_T2,2015-09-01 00:00:00,2015-12-01 00:00:00,0,
1502,course-v1:TsinghuaX+MOOC101+2014_T2,2015-06-02 08:00:00,2017-03-11 00:00:00,0,
6579,course-v1:zhongrongxin+fw0122016_7+2016_7,2016-07-04 08:00:00,2017-04-30 00:00:00,0,
10514,course-v1:CQUMOOC+0008-SocialPsychology+2017_T1,2017-04-01 08:00:00,2017-12-31 00:00:00,0,
7623,course-v1:SDUx+sd010201402+2016--T2,2016-10-18 10:00:00,2017-01-03 18:00:00,0,
4478,course-v1:TsinghuaX+20350033X+2016_T1,2016-02-22 09:00:00,2016-06-20 23:00:00,0,engineering
6465,course-v1:TsinghuaX+80590952X+2016_TS,2016-07-01 08:00:00,2016-09-01 23:30:00,0,economics
7479,course-v1:UTPermianBasin+SOCI101x+3T2016,2016-09-15 08:00:00,2017-03-15 08:00:00,0,
9299,course-v1:ynu_TsinghuaX+80000822X+2017_T1,2017-01-09 00:00:00,2017-07-15 00:00:00,0,
7929,course-v1:IMFx+DSLx+3T2016,2016-11-09 08:00:00,2016-12-07 08:00:00,0,
9240,course-v1:UC3Mx+ECO.1x+1T2017,2017-03-07 08:00:00,2017-05-02 08:00:00,0,
7407,course-v1:ycxy_SDUx+131000110+2016_T2,2016-09-01 00:00:00,2016-12-01 00:00:00,0,
4244,course-v1:Collegeofart+ZB4017+2016-T1,2015-12-10 08:00:00,2016-05-01 19:00:00,0,
3679,course-v1:ZUEL+B0680090_2015_T2+2015_T2,2015-10-30 08:00:00,2016-02-01 23:30:00,0,economics
12178,course-v1:xuetangx+credittest7+2017_T1,2017-01-01 08:00:00,2017-10-01 01:00:00,0,
496,TsinghuaX/30240184_2015X/2015_T1,2015-03-03 08:00:00,2015-07-10 08:00:00,0,computer
7910,course-v1:CQU+CHEM10000+2016-T2,2016-09-30 08:00:00,2017-01-15 00:00:00,0,
10621,course-v1:IMFx+FPP.1x_AR+2T2017,2017-05-10 08:00:00,2017-06-21 08:00:00,0,
7782,course-v1:NEU+CS102+2016_T2,2016-09-23 08:00:00,2017-01-01 00:00:00,0,
10499,course-v1:UAMx+SegAlim201x+1T2017,2017-03-28 08:00:00,2017-10-03 08:00:00,0,
8195,course-v1:hnit_TsinghuaX+20220053X+2016_T2,2016-02-22 08:00:00,2016-06-19 23:00:00,0,
8041,course-v1:yunnan_TsinghuaX+10450034_2X+2016_T2,2016-10-14 00:00:00,2017-01-14 00:00:00,0,
10700,course-v1:365dx+CS77+2017_T1,2017-03-30 08:00:00,2017-05-31 00:00:00,0,
10750,course-v1:Microsoft+CLD209.2x+2T2017,2017-04-01 08:00:00,2017-06-30 08:00:00,0,
10832,course-v1:TsinghuaX+huds_00740043X+2017_T1,2017-05-01 08:00:00,2018-05-01 23:30:00,0,
3389,course-v1:sicau+00740113X+2015_T2,2015-09-01 00:00:00,2015-12-01 00:00:00,0,
6891,course-v1:DavidsonNext+Phy_APccx+2T2016,2016-07-29 08:00:00,2017-07-31 08:00:00,0,
9151,course-v1:TsinghuaX+AP000011X+sp,2037-01-16 08:00:00,2037-02-28 23:30:00,0,
7130,course-v1:guangxi_SDUx+sd010201402+2016_T2,2016-08-25 00:00:00,2016-11-25 00:00:00,0,
8674,course-v1:tjmv_TsinghuaX+00310222X+2016_T2,2016-12-01 08:00:00,2017-02-28 23:30:00,0,
5964,course-v1:JLU+00691153X+151621,2016-04-25 23:30:00,2016-09-03 23:30:00,0,
6456,course-v1:TsinghuaX+01030132X+2016_TS,2016-07-01 08:00:00,2016-09-01 23:30:00,0,history
10541,course-v1:UPValenciaX+BMI101x+2T2017,2017-06-27 08:00:00,2018-06-27 08:00:00,0,
10992,course-v1:ZZUX+2017041801X+sp,2017-05-08 08:00:00,,1,
10048,course-v1:MISiSx+18.11x+1T2017,2017-04-01 08:00:00,2017-07-15 08:00:00,0,
11082,course-v1:shandongjiaotongUniversity+070409+2016-2017-1,2017-03-06 08:00:00,2017-07-21 00:00:00,0,
5487,course-v1:TsinghuaX+70510773X+2016_T1,2016-04-11 08:00:00,2017-03-30 23:30:00,0,
11723,course-v1:HITx+13SC03100710_2x+sp,2017-06-01 08:00:00,,1,computer
11928,course-v1:Microsoft+DEV238x+3T2017,2017-10-01 08:00:00,2017-10-31 08:00:00,0,
11235,course-v1:TsinghuaX+20120143X+2017_T2,2017-09-05 08:00:00,2017-12-25 23:30:00,0,art
5481,course-v1:ycit_TsinghuaX+20440333X+2016_T1,2016-02-01 00:00:00,2016-06-23 23:30:00,0,
608,SDSZ/15_390x/2015_T1,2015-03-01 13:30:00,2015-05-29 16:00:00,0,
6386,course-v1:TsinghuaX+30130503X+2016_T2,2016-09-12 08:00:00,2016-12-28 00:00:00,0,physics
10162,course-v1:USMx+CC615x+3T2017,2017-10-04 08:00:00,2017-11-29 08:00:00,0,
788,ThtfSEM/THTF_2_02/2015_04,2016-08-12 17:00:00,2017-06-30 00:00:00,0,
11462,course-v1:CQU+TSJYSSG00012+2017_T1,2017-05-01 00:00:00,2020-05-01 00:00:00,0,
10851,course-v1:MITx+18.01.1x+2T2017,2017-06-07 08:00:00,2017-08-30 08:00:00,0,
4381,course-v1:TsinghuaX+30040323X+2016_T1,2016-02-23 09:00:00,2016-06-26 09:00:00,0,engineering
3466,course-v1:TsinghuaX-cug+00701032X+2015_T2,2015-03-16 08:00:00,2016-07-21 17:00:00,0,
10189,course-v1:xuetangX+345+2017_T2,2017-02-20 08:00:00,2017-12-31 23:30:00,0,
8557,course-v1:61969_TsinghuaX+40670453X+2016_T2,2016-11-18 00:00:00,2017-05-18 00:00:00,0,
5333,course-v1:liaoningX+LNA20150000052+01,2016-09-03 08:00:00,2017-01-15 22:00:00,0,
749,MITx/15_390x_2015_T1/2015_T1,2015-07-03 08:00:00,2015-09-15 00:00:00,0,business
7821,course-v1:JLU+310306+161711,2016-10-14 23:30:00,2017-03-12 23:30:00,0,
4515,course-v1:TsinghuaX+20140064X+sp,2016-08-01 08:00:00,,1,engineering
10356,course-v1:TsinghuaX+cfxy80512073X+2017_T1,2017-03-08 08:00:00,2018-04-08 00:00:00,0,
5262,course-v1:qpzd+sjpx+2016_T1,2017-01-01 08:00:00,2017-06-30 20:00:00,0,
10154,course-v1:BUx+QD504x+3T2017,2017-11-06 08:00:00,2017-12-18 08:00:00,0,
7950,course-v1:MichiganX+GL101x+1T2017,2017-03-06 08:00:00,2017-05-01 08:00:00,0,
9289,course-v1:TsinghuaX+00680142X+2017_T1,2017-02-20 10:00:00,2017-05-31 23:00:00,0,philosophy
6349,course-v1:TsinghuaX+AP201601X+2016_T2,2016-07-01 08:00:00,2016-09-15 00:00:00,0,physics
7578,course-v1:W3Cx+CSS.0x+1T2016,2016-11-07 08:00:00,2016-12-26 08:00:00,0,
7788,course-v1:edX+VideoX+3T2016,2016-09-23 08:00:00,2017-09-29 08:00:00,0,
494,JXUFE/CS166/2014_T1,2015-01-01 08:00:00,2016-01-01 08:00:00,0,
11476,course-v1:CQU+TSJYSSG00038+2017_T1,2017-05-01 08:00:00,2020-05-01 00:00:00,0,
10586,course-v1:NUDT+2017032102+2017_T1,2017-05-10 08:00:00,,1,engineering
5000,course-v1:TsinghuaX+10421094X_2015_2+sp,2015-09-23 08:00:00,,1,math
11295,course-v1:TsinghuaX+60510102X+2017_T2,2017-09-05 08:00:00,2017-12-25 23:30:00,0,business
8892,course-v1:dongguan+zhiye042+20161223,2016-12-23 08:00:00,2017-04-23 00:00:00,0,
6559,course-v1:zhongrongxin+fw004+2016_7,2016-07-01 08:00:00,2017-04-30 00:00:00,0,
540,TsinghuaX/20440333_2015X/2015_T1,2015-03-15 09:00:00,2015-07-25 00:00:00,0,chemistry
11301,course-v1:CLE+CLE2017001+2017_T2,2017-09-05 08:00:00,2017-12-25 23:30:00,0,business
10373,course-v1:TsinghuaX+CAU10610224X_05+2017_T1,2017-03-14 00:00:00,2017-07-31 00:00:00,0,
9323,course-v1:Wharton+MarketingAnalytics101x+1T2017,2017-01-30 08:00:00,2017-06-30 08:00:00,0,
4659,course-v1:xduX+10610224X+2015_T2,2015-12-30 08:00:00,2016-03-03 00:00:00,0,
10745,course-v1:HarvardX+PH425x+2T2017,2017-05-31 08:00:00,2018-01-31 08:00:00,0,
8032,course-v1:Microsoft+DAT215.2x+3T2016,2016-11-08 08:00:00,2017-03-31 08:00:00,0,
4343,course-v1:TsinghuaX+20120143X+2016_T1,2016-03-01 09:00:00,2016-06-24 00:00:00,0,art
1711,course-v1:XJTU+BIOL3028+2014_T2_,2015-06-23 00:00:00,2016-06-23 23:30:00,0,
8921,course-v1:dongguan+zhiye059+20161223,2016-12-23 08:00:00,2017-04-23 00:00:00,0,
6547,course-v1:zhongrongxin+fx003+2016_7,2016-07-01 08:00:00,2017-04-30 00:00:00,0,
12100,course-v1:Microsoft+CLD208.2x+3T2017,2017-07-01 08:00:00,2017-09-30 08:00:00,0,
10408,course-v1:UQx+PSYC1030.4x+1T2017,2017-05-09 08:00:00,2017-12-10 08:00:00,0,
5293,course-v1:liaoningX+LNA20150000076+01,2016-03-07 08:00:00,2016-07-30 23:30:00,0,
8329,course-v1:BabsonX+BPET.STATx+1T2017,2017-03-21 08:00:00,2017-04-18 08:00:00,0,
8604,course-v1:IC+IC16001_01+2017_S1,2017-01-18 00:00:00,2017-07-31 00:00:00,0,
11654,course-v1:TsinghuaX+THU201605X+2017_T2,2017-09-05 08:00:00,2017-12-25 23:30:00,0,education
6653,course-v1:zhongrongxin+cw003+2016_7,2016-07-11 08:00:00,2017-04-30 00:00:00,0,
510,TsinghuaX/10430494_2015X/2015_T1,2015-03-02 09:00:00,2015-08-03 00:00:00,0,physics
